issn,journal_title,oa_model,apc,year,publisher
2090-0252,International Journal of Alzheimer’s Disease,Open Access,775,2022,Hindawi
1687-8779,International Journal of Analytical Chemistry,Open Access,1450,2022,Hindawi
1687-5877,International Journal of Antennas and Propagation,Open Access,2300,2022,Hindawi
1687-8795,International Journal of Biomaterials,Open Access,900,2022,Hindawi
1687-4196,International Journal of Biomedical Imaging,Open Access,900,2022,Hindawi
2090-3189,International Journal of Breast Cancer,Open Access,900,2022,Hindawi
1687-8884,International Journal of Cell Biology,Open Access,775,2022,Hindawi
1687-8078,International Journal of Chemical Engineering,Open Access,1450,2022,Hindawi
2314-5749,International Journal of Chronic Diseases,Open Access,775,2022,Hindawi
1742-1241,International Journal of Clinical Practice,Open Access,2100,2022,Hindawi
1687-7055,International Journal of Computer Games Technology,Open Access,900,2022,Hindawi
1687-9333,International Journal of Corrosion,Open Access,900,2022,Hindawi
1687-8736,International Journal of Dentistry,Open Access,1400,2022,Hindawi
1687-9651,International Journal of Differential Equations,Open Access,1025,2022,Hindawi
1687-7586,International Journal of Digital Multimedia Broadcasting,Open Access,900,2022,Hindawi
1687-9716,International Journal of Ecology,Open Access,775,2022,Hindawi
2090-3537,International Journal of Electrochemistry,Open Access,900,2022,Hindawi
1687-8345,International Journal of Endocrinology,Open Access,2300,2022,Hindawi
2314-5765,International Journal of Food Science,Open Access,775,2022,Hindawi
1687-9376,International Journal of Forestry Research,Open Access,775,2022,Hindawi
2314-4378,International Journal of Genomics,Open Access,1975,2022,Hindawi
1687-8868,International Journal of Geophysics,Open Access,900,2022,Hindawi
2090-3456,International Journal of Hepatology,Open Access,900,2022,Hindawi
2090-0392,International Journal of Hypertension,Open Access,1450,2022,Hindawi
2042-0099,International Journal of Inflammation,Open Access,900,2022,Hindawi
1687-0425,International Journal of Mathematics and Mathematical Sciences,Open Access,1025,2022,Hindawi
1687-9198,International Journal of Microbiology,Open Access,900,2022,Hindawi
2090-2158,International Journal of Nephrology,Open Access,900,2022,Hindawi
1687-9392,International Journal of Optics,Open Access,1450,2022,Hindawi
1687-921X,International Journal of Otolaryngology,Open Access,775,2022,Hindawi
1687-9759,International Journal of Pediatrics,Open Access,900,2022,Hindawi
1687-529X,International Journal of Photoenergy,Open Access,1975,2022,Hindawi
1687-9430,International Journal of Polymer Science,Open Access,1975,2022,Hindawi
1687-7209,International Journal of Reconfigurable Computing,Open Access,900,2022,Hindawi
2314-5757,International Journal of Reproductive Medicine,Open Access,775,2022,Hindawi
1687-9279,International Journal of Rheumatology,Open Access,900,2022,Hindawi
1542-3034,International Journal of Rotating Machinery,Open Access,900,2022,Hindawi
2090-1410,International Journal of Surgical Oncology,Open Access,900,2022,Hindawi
1687-6423,International Journal of Telemedicine and Applications,Open Access,900,2022,Hindawi
2090-2832,International Journal of Vascular Medicine,Open Access,900,2022,Hindawi
1687-8485,International Journal of Zoology,Open Access,775,2022,Hindawi
2050-7038,International Transactions on Electrical Energy Systems,Open Access,2100,2022,Hindawi
2090-7850,Journal of Addiction,Open Access,775,2022,Hindawi
2042-3195,Journal of Advanced Transportation,Open Access,2500,2022,Hindawi
2090-2212,Journal of Aging Research,Open Access,900,2022,Hindawi
2090-8873,Journal of Analytical Methods in Chemistry,Open Access,1975,2022,Hindawi
1687-0042,Journal of Applied Mathematics,Open Access,1025,2022,Hindawi
1687-8566,Journal of Cancer Epidemiology,Open Access,900,2022,Hindawi
2090-9071,Journal of Chemistry,Open Access,1975,2022,Hindawi
2090-1976,Journal of Combustion,Open Access,900,2022,Hindawi
2090-715X,Journal of Computer Networks and Communications,Open Access,1400,2022,Hindawi
1687-5257,Journal of Control Science and Engineering,Open Access,1400,2022,Hindawi
2314-6753,Journal of Diabetes Research,Open Access,2500,2022,Hindawi
2090-0155,Journal of Electrical and Computer Engineering,Open Access,900,2022,Hindawi
2314-615X,Journal of Energy,Open Access,775,2022,Hindawi
2314-4912,Journal of Engineering,Open Access,900,2022,Hindawi
1687-9813,Journal of Environmental and Public Health,Open Access,1400,2022,Hindawi
1745-4557,Journal of Food Quality,Open Access,2300,2022,Hindawi
2314-8888,Journal of Function Spaces,Open Access,2300,2022,Hindawi
2040-2309,Journal of Healthcare Engineering,Open Access,2300,2022,Hindawi
2314-7156,Journal of Immunology Research,Open Access,2300,2022,Hindawi
1540-8183,Journal of Interventional Cardiology,Open Access,1975,2022,Hindawi
2090-3049,Journal of Lipids,Open Access,900,2022,Hindawi
2633-4674,Journal of Marine Sciences,Open Access,775,2022,Hindawi
2314-4785,Journal of Mathematics,Open Access,1975,2022,Hindawi
1687-4129,Journal of Nanomaterials,Open Access,2300,2022,Hindawi
1687-9511,Journal of Nanotechnology,Open Access,900,2022,Hindawi
2090-021X,Journal of Nucleic Acids,Open Access,900,2022,Hindawi
2090-0732,Journal of Nutrition and Metabolism,Open Access,900,2022,Hindawi
2090-0716,Journal of Obesity,Open Access,900,2022,Hindawi
1687-8469,Journal of Oncology,Open Access,2300,2022,Hindawi
2090-0058,Journal of Ophthalmology,Open Access,2500,2022,Hindawi
2314-6486,Journal of Optimization,Open Access,1025,2022,Hindawi
2042-0064,Journal of Osteoporosis,Open Access,900,2022,Hindawi
2090-0031,Journal of Parasitology Research,Open Access,900,2022,Hindawi
2090-3065,Journal of Pathogens,Open Access,900,2022,Hindawi
2090-2735,Journal of Pregnancy,Open Access,900,2022,Hindawi
1687-9538,Journal of Probability and Statistics,Open Access,1025,2022,Hindawi
2314-4394,Journal of Renewable Energy,Open Access,775,2022,Hindawi
1687-9619,Journal of Robotics,Open Access,900,2022,Hindawi
1687-7268,Journal of Sensors,Open Access,2300,2022,Hindawi
2090-2913,Journal of Skin Cancer,Open Access,900,2022,Hindawi
1834-2612,Journal of Smoking Cessation,Open Access,1350,2022,Hindawi
2314-4939,Journal of Spectroscopy,Open Access,1450,2022,Hindawi
2314-6176,Journal of Sports Medicine,Open Access,775,2022,Hindawi
1752-8976,Journal of the Renin-Angiotensin-Aldosterone System,Open Access,2100,2022,Hindawi
2475-0387,Journal of Theoretical Social Psychology,Open Access,900,2022,Hindawi
2042-0072,Journal of Thyroid Research,Open Access,900,2022,Hindawi
1687-8205,Journal of Toxicology,Open Access,900,2022,Hindawi
2090-0015,Journal of Transplantation,Open Access,900,2022,Hindawi
1687-9694,Journal of Tropical Medicine,Open Access,1450,2022,Hindawi
1439-0469,Journal of Zoological Systematics and Evolutionary Research,Open Access,2100,2022,Hindawi
1469-803X,Laser and Particle Beams,Open Access,1800,2022,Hindawi
2577-6576,Material Design & Processing Communications,Open Access,750,2022,Hindawi
1563-5147,Mathematical Problems in Engineering,Open Access,2550,2022,Hindawi
1466-1861,Mediators of Inflammation,Open Access,2500,2022,Hindawi
2090-1453,Minimally Invasive Surgery,Open Access,900,2022,Hindawi
1875-905X,Mobile Information Systems,Open Access,2300,2022,Hindawi
1687-5605,Modelling and Simulation in Engineering,Open Access,900,2022,Hindawi
1536-0121,Molecular Imaging,Open Access,2100,2022,Hindawi
2090-2662,Multiple Sclerosis International,Open Access,900,2022,Hindawi
1687-5443,Neural Plasticity,Open Access,2300,2022,Hindawi
2090-1860,Neurology Research International,Open Access,900,2022,Hindawi
2090-1437,Nursing Research and Practice,Open Access,900,2022,Hindawi
1687-9597,Obstetrics and Gynecology International,Open Access,900,2022,Hindawi
1557-0703,Occupational Therapy International,Open Access,1450,2022,Hindawi
1942-0994,Oxidative Medicine and Cellular Longevity,Open Access,2550,2022,Hindawi
1918-1523,Pain Research and Management,Open Access,2300,2022,Hindawi
2042-0080,Parkinson’s Disease,Open Access,1975,2022,Hindawi
2573-7619,Polymer Crystallization,Open Access,900,2022,Hindawi
1687-4765,PPAR Research,Open Access,1450,2022,Hindawi
2090-312X,Prostate Cancer,Open Access,900,2022,Hindawi
1687-7438,Psyche: A Journal of Entomology,Open Access,900,2022,Hindawi
2314-4335,Psychiatry Journal,Open Access,775,2022,Hindawi
2090-1844,Pulmonary Medicine,Open Access,900,2022,Hindawi
2577-0470,Quantum Engineering,Open Access,750,2022,Hindawi
2090-195X,Radiology Research and Practice,Open Access,900,2022,Hindawi
2090-2875,Rehabilitation Research and Practice,Open Access,900,2022,Hindawi
1369-1643,Sarcoma,Open Access,775,2022,Hindawi
1932-8745,Scanning,Open Access,1450,2022,Hindawi
2090-2093,Schizophrenia Research and Treatment,Open Access,900,2022,Hindawi
1687-6083,Science and Technology of Nuclear Installations,Open Access,1450,2022,Hindawi
1875-919X,Scientific Programming,Open Access,1975,2022,Hindawi
2090-908X,Scientifica,Open Access,900,2022,Hindawi
1939-0122,Security and Communication Networks,Open Access,2300,2022,Hindawi
1875-9203,Shock and Vibration,Open Access,2500,2022,Hindawi
2090-3553,Sleep Disorders,Open Access,775,2022,Hindawi
1687-9678,Stem Cells International,Open Access,2300,2022,Hindawi
2042-0056,Stroke Research and Treatment,Open Access,900,2022,Hindawi
2356-6124,Surgery Research and Practice,Open Access,775,2022,Hindawi
1524-4741,The Breast Journal,Open Access,2100,2022,Hindawi
1537-744X,The Scientific World Journal,Open Access,775,2022,Hindawi
2573-8488,Translational Sports Medicine,Open Access,750,2022,Hindawi
2090-1518,Tuberculosis Research and Treatment,Open Access,775,2022,Hindawi
2042-0048,Veterinary Medicine International,Open Access,775,2022,Hindawi
1530-8677,Wireless Communications and Mobile Computing,Open Access,2500,2022,Hindawi
2052-8418,Wireless Power Transfer,Open Access,1350,2022,Hindawi
1601-5215,Acta Neuropsychiatrica,Hybrid,3255,2022,CambridgeUniPress
1474-0508,Acta Numerica,Hybrid,3255,2022,CambridgeUniPress
2326-3768,Advances in Archaeological Practice,Hybrid,3255,2022,CambridgeUniPress
1750-0184,Africa,Hybrid,3255,2022,CambridgeUniPress
2752-6402,"Africa Bibliography, Research and Documentation",Hybrid,3255,2022,CambridgeUniPress
1555-2462,African Studies Review,Hybrid,3255,2022,CambridgeUniPress
1469-1779,Ageing & Society,Hybrid,3255,2022,CambridgeUniPress
2372-2614,Agricultural and Resource Economics Review,Open Access,1575,2022,CambridgeUniPress
1469-1760,AI EDAM,Hybrid,3255,2022,CambridgeUniPress
2398-7723,AJIL Unbound,Open Access,0,2022,CambridgeUniPress
2325-5064,American Antiquity,Hybrid,3255,2022,CambridgeUniPress
2161-7953,American Journal of International Law,Hybrid,3255,2022,CambridgeUniPress
2375-835X,American Journal of Law & Medicine,Hybrid,3255,2022,CambridgeUniPress
1537-5943,American Political Science Review,Hybrid,3255,2022,CambridgeUniPress
1533-6247,Americas,Hybrid,3255,2022,CambridgeUniPress
2048-0849,Anatolian Studies,Hybrid,3255,2022,CambridgeUniPress
1469-1787,Ancient Mesoamerica,Hybrid,3255,2022,CambridgeUniPress
1474-0532,Anglo-Saxon England,Hybrid,3255,2022,CambridgeUniPress
1475-2654,Animal Health Research Reviews,Hybrid,3255,2022,CambridgeUniPress
1748-5002,Annals of Actuarial Science,Hybrid,3255,2022,CambridgeUniPress
1727-5644,Annals of Glaciology,Open Access,1815,2022,CambridgeUniPress
2045-2403,Annual of the British School at Athens,Hybrid,3255,2022,CambridgeUniPress
1471-6356,Annual Review of Applied Linguistics,Hybrid,3255,2022,CambridgeUniPress
1365-2079,Antarctic Science,Hybrid,3062,2022,CambridgeUniPress
2732-494X,Antimicrobial Stewardship & Healthcare Epidemiology,Open Access,2000,2022,CambridgeUniPress
1758-5309,Antiquaries Journal,Hybrid,3255,2022,CambridgeUniPress
1745-1744,Antiquity,Hybrid,3255,2022,CambridgeUniPress
1446-8735,ANZIAM Journal,Hybrid,3255,2022,CambridgeUniPress
1469-1817,Applied Psycholinguistics,Hybrid,3255,2022,CambridgeUniPress
1474-0524,Arabic Sciences and Philosophy,Hybrid,3255,2022,CambridgeUniPress
1478-2294,Archaeological Dialogues,Hybrid,3255,2022,CambridgeUniPress
2041-4102,Archaeological Reports,Hybrid,3255,2022,CambridgeUniPress
2059-5670,Architectural History,Hybrid,3069,2022,CambridgeUniPress
1474-0516,arq: Architectural Research Quarterly,Hybrid,3255,2022,CambridgeUniPress
2059-7525,Art Libraries Journal,Hybrid,2920,2022,CambridgeUniPress
1932-0205,Asian Journal of Comparative Law,Hybrid,3255,2022,CambridgeUniPress
2044-2521,Asian Journal of International Law,Hybrid,3255,2022,CambridgeUniPress
2052-9023,Asian Journal of Law and Society,Hybrid,3255,2022,CambridgeUniPress
1783-1350,ASTIN Bulletin: The Journal of the IAA,Hybrid,3255,2022,CambridgeUniPress
2515-074X,Australasian Journal of Special and Inclusive Education,Hybrid,3255,2022,CambridgeUniPress
2049-775X,Australian Journal of Environmental Education,Hybrid,3255,2022,CambridgeUniPress
1558-5255,Austrian History Yearbook ,Hybrid,3255,2022,CambridgeUniPress
2049-7768,Behaviour Change,Hybrid,3255,2022,CambridgeUniPress
1469-1833,Behavioural and Cognitive Psychotherapy,Hybrid,3255,2022,CambridgeUniPress
2398-0648,Behavioural Public Policy,Hybrid,3255,2022,CambridgeUniPress
1469-1841,Bilingualism: Language and Cognition,Hybrid,3255,2022,CambridgeUniPress
2633-903X,Biological Imaging,Open Access,3255,2022,CambridgeUniPress
1474-0001,Bird Conservation International,Hybrid,3255,2022,CambridgeUniPress
2056-354X,BJHS Themes,Open Access,3255,2022,CambridgeUniPress
2056-4686,BJPsych Advances,Hybrid,2190,2022,CambridgeUniPress
2056-4708,BJPsych Bulletin,Open Access,0,2022,CambridgeUniPress
2058-6264,BJPsych International,Open Access,0,2022,CambridgeUniPress
2056-4724,BJPsych Open,Open Access,2190,2022,CambridgeUniPress
1839-5252,Brain Impairment,Hybrid,3255,2022,CambridgeUniPress
1753-5352,Britannia,Hybrid,3255,2022,CambridgeUniPress
2044-0456,British Actuarial Journal,Open Access,0,2022,CambridgeUniPress
2055-7981,British Catholic History,Hybrid,3255,2022,CambridgeUniPress
1474-001X,British Journal for the History of Science,Hybrid,3255,2022,CambridgeUniPress
1469-2104,British Journal of Music Education,Hybrid,3255,2022,CambridgeUniPress
1475-2662,British Journal of Nutrition,Hybrid,3255,2022,CambridgeUniPress
1469-2112,British Journal of Political Science,Hybrid,3255,2022,CambridgeUniPress
1472-1465,British Journal of Psychiatry,Hybrid,4920,2022,CambridgeUniPress
1475-2670,Bulletin of Entomological Research,Hybrid,3255,2022,CambridgeUniPress
1943-5894,Bulletin of Symbolic Logic,Hybrid,3255,2022,CambridgeUniPress
1755-1633,Bulletin of the Australian Mathematical Society,Hybrid,3255,2022,CambridgeUniPress
1474-0699,Bulletin of the School of Oriental and African Studies,Hybrid,3255,2022,CambridgeUniPress
2057-0201,Business and Human Rights Journal,Hybrid,3255,2022,CambridgeUniPress
1469-3569,Business and Politics,Hybrid,3255,2022,CambridgeUniPress
2153-3326,Business Ethics Quarterly,Hybrid,3255,2022,CambridgeUniPress
2044-768X,Business History Review,Hybrid,3255,2022,CambridgeUniPress
1749-625X,Byzantine and Modern Greek Studies,Hybrid,3255,2022,CambridgeUniPress
1474-0540,Cambridge Archaeological Journal,Hybrid,3255,2022,CambridgeUniPress
2047-993X,Cambridge Classical Journal,Hybrid,3255,2022,CambridgeUniPress
2052-2622,Cambridge Journal of Postcolonial Literary Inquiry,Hybrid,3255,2022,CambridgeUniPress
1469-2139,Cambridge Law Journal,Hybrid,3255,2022,CambridgeUniPress
1474-0621,Cambridge Opera Journal,Hybrid,3255,2022,CambridgeUniPress
1469-2147,Cambridge Quarterly of Healthcare Ethics,Hybrid,3255,2022,CambridgeUniPress
2049-7636,Cambridge Yearbook of European Legal Studies,Hybrid,3255,2022,CambridgeUniPress
1918-3240,Canadian Entomologist,Hybrid,2920,2022,CambridgeUniPress
2056-4260,Canadian Journal of Law & Jurisprudence,Hybrid,3255,2022,CambridgeUniPress
1911-0227,Canadian Journal of Law & Society / La Revue Canadienne Droit et Société,Hybrid,3255,2022,CambridgeUniPress
1710-1115,Canadian Journal of Linguistics/Revue canadienne de linguistique,Hybrid,3255,2022,CambridgeUniPress
1496-4279,Canadian Journal of Mathematics,Hybrid,2060,2022,CambridgeUniPress
2057-0155,Canadian Journal of Neurological Sciences,Hybrid,2205,2022,CambridgeUniPress
1911-0820,Canadian Journal of Philosophy,Hybrid,3255,2022,CambridgeUniPress
1744-9324,Canadian Journal of Political Science/Revue canadienne de science politique,Hybrid,3069,2022,CambridgeUniPress
1710-1107,Canadian Journal on Aging / La Revue canadienne du vieillissement,Hybrid,3255,2022,CambridgeUniPress
1496-4287,Canadian Mathematical Bulletin,Hybrid,1030,2022,CambridgeUniPress
1925-0169,Canadian Yearbook of International Law / Annuaire canadien de droit international,Hybrid,3255,2022,CambridgeUniPress
1467-1107,Cardiology in the Young,Hybrid,3255,2022,CambridgeUniPress
1569-1616,Central European History,Hybrid,3255,2022,CambridgeUniPress
1468-2648,China Quarterly   ,Hybrid,3255,2022,CambridgeUniPress
1755-2613,Church History,Hybrid,3255,2022,CambridgeUniPress
1471-6844,Classical Quarterly,Hybrid,3255,2022,CambridgeUniPress
1464-3561,Classical Review,Hybrid,3255,2022,CambridgeUniPress
1471-8030,Clay Minerals,Hybrid,3255,2022,CambridgeUniPress
2165-6509,CNS Spectrums,Hybrid,3255,2022,CambridgeUniPress
1754-470X,Cognitive Behaviour Therapist,Hybrid,3255,2022,CambridgeUniPress
1469-2163,"Combinatorics, Probability and Computing",Hybrid,3255,2022,CambridgeUniPress
1475-2999,Comparative Studies in Society and History,Hybrid,3255,2022,CambridgeUniPress
1570-5846,Compositio Mathematica,Hybrid,3090,2022,CambridgeUniPress
1469-2171,Contemporary European History,Hybrid,3255,2022,CambridgeUniPress
1469-218X,Continuity and Change,Hybrid,3255,2022,CambridgeUniPress
1940-509X,Dance Research Journal              ,Hybrid,3255,2022,CambridgeUniPress
2632-3249,Data & Policy,Open Access,1660,2022,CambridgeUniPress
2632-6736,Data-Centric Engineering,Open Access,1660,2022,CambridgeUniPress
2053-4701,Design Science,Open Access,1742,2022,CambridgeUniPress
1469-2198,Development and Psychopathology,Hybrid,3255,2022,CambridgeUniPress
1759-0949,Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,Hybrid,3255,2022,CambridgeUniPress
1938-744X,Disaster Medicine and Public Health Preparedness,Hybrid,3100,2022,CambridgeUniPress
1742-0598,Du Bois Review: Social Science Research on Race,Hybrid,3255,2022,CambridgeUniPress
2325-2324,Early China,Hybrid,3255,2022,CambridgeUniPress
1474-0559,Early Music History,Hybrid,3255,2022,CambridgeUniPress
1755-6929,Earth and Environmental Science Transactions of The Royal Society of Edinburgh,Hybrid,3255,2022,CambridgeUniPress
